Year,Annual_Mean_Temp,Temp_Anomaly,City
1953,26.941041054039726,0.22621136332697844,Kolkata
1954,26.619424667030138,-0.09540502368260917,Kolkata
1955,26.715191768752057,0.00036207803930921045,Kolkata
1956,26.246174859234973,-0.46865483147777454,Kolkata
1957,26.788712319602737,0.07388262888999009,Kolkata
1958,27.385780794452053,0.6709511037393057,Kolkata
1959,26.462479445150684,-0.252350245562063,Kolkata
1960,26.675806024901643,-0.03902366581110428,Kolkata
1961,26.210068504132877,-0.50476118657987,Kolkata
1962,26.263068455047947,-0.45176123566480086,Kolkata
1963,26.438095888264385,-0.2767338024483621,Kolkata
1964,26.604822399836063,-0.11000729087668404,Kolkata
1965,26.32501368323288,-0.3898160074798689,Kolkata
1966,26.615109606949314,-0.09972008376343311,Kolkata
1967,26.30399996609589,-0.41082972461685685,Kolkata
1968,26.32755461164071,-0.38727507907203673,Kolkata
1969,26.65272604928904,-0.0621036414237075,Kolkata
1970,26.461698630161646,-0.2531310605511017,Kolkata
1971,25.608561645171232,-1.1062680455415155,Kolkata
1972,26.714030031177597,-0.0007996595351507096,Kolkata
1973,26.536945235810958,-0.17788445490178972,Kolkata
1974,26.297493103682193,-0.41733658703055454,Kolkata
1975,26.17261641779726,-0.542213272915486,Kolkata
1976,26.45815572603415,-0.2566739646785976,Kolkata
1977,26.258452036446577,-0.45637765426616994,Kolkata
1978,26.29160273290137,-0.42322695781137654,Kolkata
1979,27.36831507889041,0.6534853881776641,Kolkata
1980,27.051967220819673,0.3371375301069257,Kolkata
1981,26.338410970575346,-0.3764187201374014,Kolkata
1982,26.89417808091781,0.17934839020506388,Kolkata
1983,26.554931534846574,-0.1598981558661734,Kolkata
1984,26.24475405889891,-0.47007563181383816,Kolkata
1985,26.583794518178085,-0.1310351725346628,Kolkata
1986,26.651849290746576,-0.06298039996617177,Kolkata
1987,26.830219149849317,0.11538945913656917,Kolkata
1988,26.824330620601096,0.10950092988834825,Kolkata
1989,26.502684894776714,-0.21214479593603386,Kolkata
1990,26.367041077221916,-0.347788613490831,Kolkata
1991,26.74342463912329,0.028594948410542997,Kolkata
1992,26.443005481025956,-0.2718242096867911,Kolkata
1993,26.355123280849316,-0.3597064098634313,Kolkata
1994,26.76672599072603,0.051896300013282826,Kolkata
1995,26.593520540804107,-0.12130914990864028,Kolkata
1996,26.702636576762295,-0.012193113950452528,Kolkata
1997,26.44191782197945,-0.27291186873329565,Kolkata
1998,26.572808236958906,-0.14202145375384134,Kolkata
1999,26.91042470030137,0.1955950095886223,Kolkata
2000,26.544371563280052,-0.1704581274326955,Kolkata
2001,26.416698663628765,-0.29813102708398276,Kolkata
2002,26.54469864309589,-0.17013104761685582,Kolkata
2003,26.527684923784935,-0.1871447669278119,Kolkata
2004,26.747718583090165,0.03288889237741799,Kolkata
2005,26.877548013876712,0.16271832316396484,Kolkata
2006,26.839041120671233,0.12421142995848555,Kolkata
2007,26.53813696310959,-0.17669272760315735,Kolkata
2008,26.686571036598362,-0.028258654114384996,Kolkata
2009,27.33058904327397,0.6157593525612235,Kolkata
2010,27.377013688424658,0.6621839977119102,Kolkata
